sample no.,model_name,json_validity,key_similarity,value_exactness,numeric_similarity,string_similarity
0,Qwen2.5-72B-Instruct-AWQ,True,1.0,1.0,1.0,1.0
0,gpt-4o-mini,True,1.0,0.9642857142857143,1.0,0.8386666666666668
1,Qwen2.5-72B-Instruct-AWQ,True,1.0,1.0,1.0,1.0
1,gpt-4o-mini,True,1.0,0.8571428571428572,1.0,0.9856944444444445
2,Qwen2.5-72B-Instruct-AWQ,True,1.0,1.0,1.0,1.0
2,gpt-4o-mini,True,1.0,0.8928571428571429,0.9991963410373919,0.3940458015267176
3,Qwen2.5-72B-Instruct-AWQ,True,1.0,0.9642857142857143,1.0,1.0
3,gpt-4o-mini,True,1.0,0.9285714285714286,1.0,0.8382051282051282
4,Qwen2.5-72B-Instruct-AWQ,True,1.0,1.0,1.0,1.0
4,gpt-4o-mini,True,0.8666666666666667,0.8571428571428572,0.9332342743770635,0.9087500000000001
5,Qwen2.5-72B-Instruct-AWQ,True,1.0,1.0,1.0,1.0
5,gpt-4o-mini,True,0.8666666666666667,0.8571428571428572,1.0,0.9175789473684209
6,Qwen2.5-72B-Instruct-AWQ,True,1.0,0.9642857142857143,0.5,0.9968965517241379
6,gpt-4o-mini,True,0.8666666666666667,0.8571428571428572,0.5,1.0
7,Qwen2.5-72B-Instruct-AWQ,True,1.0,0.9285714285714286,1,0.9638709677419356
7,gpt-4o-mini,True,0.8666666666666667,0.8571428571428572,1.0,0.9646875
8,Qwen2.5-72B-Instruct-AWQ,True,1.0,1.0,1.0,1.0
8,gpt-4o-mini,True,0.8666666666666667,0.8571428571428572,0.9996865798455129,0.5925949367088608
9,Qwen2.5-72B-Instruct-AWQ,True,1.0,1.0,1.0,1.0
9,gpt-4o-mini,True,0.8666666666666667,0.9285714285714286,1.0,1.0
avg,Qwen2.5-72B-Instruct-AWQ,1.0,1.0,0.9857142857142858,0.95,0.9960767519466074
avg,gpt-4o-mini,1.0,0.9200000000000003,0.8857142857142859,0.9432117195259968,0.8440223424920239
